iter	Logloss
0	0.6901347252
1	0.6871906469
2	0.6843296316
3	0.6814286315
4	0.6786392707
5	0.6757535754
6	0.6729141635
7	0.6701108744
8	0.6674169679
9	0.6647528006
10	0.6620288378
11	0.65941925
12	0.6568484946
13	0.654306381
14	0.6517554343
15	0.6492835756
16	0.6468078333
17	0.6443614182
18	0.6419508737
19	0.6395497609
20	0.637232274
21	0.6348549023
22	0.6325766157
23	0.6302787503
24	0.6279988296
25	0.6256582842
26	0.6233416542
27	0.6211105361
28	0.6189659557
29	0.6169205733
30	0.6147806084
31	0.6125868407
32	0.610418963
33	0.6082805884
34	0.6062730545
35	0.6042372431
36	0.6023094661
37	0.6002427671
38	0.5983293958
39	0.5964019736
40	0.5944780488
41	0.5925702731
42	0.5906970541
43	0.5887456552
44	0.5868266813
45	0.5850445982
46	0.5831468318
47	0.5814290491
48	0.5796831023
49	0.5779407254
50	0.576168313
51	0.5743966513
52	0.5726755933
53	0.5710021953
54	0.56929503
55	0.5676275424
56	0.5660561712
57	0.5644497222
58	0.5628540912
59	0.5612804958
60	0.5597483616
61	0.5582349887
62	0.5565879325
63	0.5550002731
64	0.5535310891
65	0.5520564011
66	0.5505788246
67	0.549057047
68	0.5476183107
69	0.5462366016
70	0.5448881264
71	0.5434086336
72	0.5419486583
73	0.5405412277
74	0.5391043319
75	0.5376904938
76	0.536364387
77	0.5351125586
78	0.533815304
79	0.532498205
80	0.5311608397
81	0.5299279857
82	0.5286962372
83	0.5274880109
84	0.5262221365
85	0.5250100512
86	0.5237496551
87	0.5226090748
88	0.5214303563
89	0.5202388529
90	0.519050938
91	0.51793963
92	0.5167375629
93	0.5156490191
94	0.5145072642
95	0.5133837844
96	0.5123418613
97	0.5112758344
98	0.5102574967
99	0.5092254382
100	0.508115572
101	0.507053497
102	0.5060390029
103	0.5049826638
104	0.5039513306
105	0.5029893212
106	0.501923883
107	0.5009527721
108	0.4999921163
109	0.4990176634
110	0.4980332689
111	0.4971055115
112	0.4962627163
113	0.4953827198
114	0.4944194731
115	0.493487706
116	0.4925800356
117	0.4917167837
118	0.4908847381
119	0.4900222199
120	0.4891664172
121	0.4882857739
122	0.4874657724
123	0.4865683957
